video_id,view_count,video_size,video_length
QyQqcQdMDK8,88432,334503873,2730
GI8x4xWmlX8,182078,589203634,788
Sy_-D5Ju6H0,99062,18893024279,19445
Bh7M6e40C6g,243460,1793204503,9270
PlS_SnsfnYU,626603,97363724,1012
hCSzJk0dhPs,535965,439991569,1168
MVrfL1oWXNQ,84561,19843083223,14640
RSOGYcCKDhU,67764,435963863,685
QdtjCh91xM4,48864,52782938,609
oRstMxqE7io,24218,19966388738,18142
xqOmqm2wOSs,355105,1126058838,1237
9ymaZD70L2Q,281185,457818737,1290
Lb_XX_gNnXQ,94782,259599547,1408
GBb5dNI9qdQ,326307,1008379325,1213
jipG17xbBmA,827616,1511208,12
CWfiNq8Sj1g,127756,64582260,680
QGk3dcW6yzo,144231,419929271,2384
pCPb08CVhBo,184233,486034037,2597
na8RWYVmP9c,479614,72252594,722
oxEb0aTD8c0,71094,453045171,2122
diyTZhGwPUw,194344,568687337,2577
v2sKY-jrbR4,340841,406652561,529
McFJ1VdulG4,42469,3011152853,6900
hsRSrf3FVbs,353473,3438034,30
ZLcxKi9g2A0,217656,272615646,1721
J22HdEeaYsU,124918,60895797,506
Bmlxp0jRzAc,256266,439440330,1553
RUca94ya_M8,148928,34906681,231
DsBy8noEr94,205471,29820043310,21928
ld8AgUhdu-4,37496,705289429,767
qUQjIgu7l3I,180309,388248746,1168
CKzc38rTTg8,1718067,726547133,809
UvYBl-w4_Lg,7783823,539437985,1748
vg5zezGmEIY,793393,9040741677,6009
YAM1HR7lWbg,935200,659105457,2548
AB1JVLBfTpk,712507,541213015,558
a3zdc8B_9B8,153328,58562356,477
NBHJk7vKw5w,908691,9204245,39
zR1XYeX7M6Y,776070,169964565,2285
u405LAxRCp8,836300,2703788,34
Z4D2aStWDpU,369653,432216780,1535
2cXvFB_o3r8,1791544,1318688802,8471
6OafN7ZvIkg,945453,542275928,1599
u7RJgTZQaS4,129811,18308876029,18416
e2_ixobus7A,701736,3049653,20
a5z_7d1aba4,233505,278246771,731
uIS-0KydDGM,144504,250084561,1074
YBgJSq5OBG4,158848,978445844,1143
SstWbERMv00,746875,308813086,217
8anvgDfgcSA,2186407,47814575,131
boPiN2EnnzI,110192,19985296,141
vzuPCQ6WGZg,594222,80490277,43
HZA2af3qHFQ,627520,67931333,804
Rpvcbsiuswk,412518,2651627240,1571
ULEvJ7eCpGA,241643,473556592,2730
GhJu0Ku6dis,668874,415997787,1171
48jP4qCb0pM,201773,1353802249,1221
fhP6wFA_geo,147844,7781462495,7221
NejK8JhadT8,209073,3158131,25
h2MMGYkKyC8,343490,1178086012,6870
PKscR4bloSA,1216538,209192394,1006
eZ7rHJhfe_s,575192,592646785,4210
zA7IcX816RQ,85999,303997525,325
avt3K25tTtw,73045,1477461312,10546
5Rqcnk8i07g,152954,357013779,917
